번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
1,일반음식점,07_24_04_P,3250000,3250000-101-2024-00139,2024-12-02,,03,폐업,02,폐업,2024-12-12,,,,,,600-017,부산광역시 중구 중앙동7가 20-1 롯데백화점광복점,"부산광역시 중구 중앙대로 2, 롯데백화점광복점 지하1층 (중앙동7가)",48944,농업회사법인 주식회사 진양푸드,2024-12-13 4:15,U,2024-12-15 2:40,기타,385590.8147,179553.867,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
2,일반음식점,07_24_04_P,3250000,3250000-101-2024-00138,2024-12-02,,03,폐업,02,폐업,2024-12-26,,,,,,600-017,부산광역시 중구 중앙동7가 20-1 롯데백화점광복점,"부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)",48944,그대쉴꽃꽃차수제티푸드협회,2024-12-27 4:15,U,2024-12-29 2:40,기타,385590.8147,179553.867,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
3,일반음식점,07_24_04_P,4070000,4070000-101-2024-00307,2024-12-02,,03,폐업,02,폐업,2024-12-15,,,,,18,467-871,경기도 이천시 모가면 신갈리 374,"경기도 이천시 모가면 사실로 988, 시몬스테라스 일대",17406,삼미분식,2024-12-16 4:15,U,2024-12-18 2:40,기타,239563.7272,410747.0692,기타,0,0,,,,0,0,0,0,0,,0,0,N,18,,,
4,일반음식점,07_24_04_P,3420000,3420000-101-2024-00355,2024-12-02,,03,폐업,02,폐업,2024-12-19,,,,,8,701-020,대구광역시 동구 신천동 1506 신세계동대구복합환승센터,"대구광역시 동구 동부로 149, 신세계동대구복합환승센터 지하1층 (신천동)",41229,퍼스티아,2024-12-20 4:15,U,2024-12-22 2:40,기타,347037.242,265407.4043,기타,0,0,,,,0,0,0,0,0,,0,0,N,8,,,
5,일반음식점,07_24_04_P,4311000,4311000-101-2025-00013,2025-01-06,,03,폐업,02,폐업,2025-02-02,,,,,,,강원특별자치도 화천군 화천읍 중리 188-1 (예약낚시터(공무원아파트) 방향),,,산천어 회센터(3),2025-02-03 4:15,U,2025-02-05 2:40,횟집,262066.8319,512357.9457,횟집,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
6,일반음식점,07_24_04_P,4311000,4311000-101-2025-00012,2025-01-06,,03,폐업,02,폐업,2025-02-02,,,,,,,강원특별자치도 화천군 화천읍 중리 233 (현장낚시(2낚시터) 절산방향),,,산천어 회센터(2),2025-02-03 4:15,U,2025-02-05 2:40,횟집,262309.0105,511826.0912,횟집,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
7,일반음식점,07_24_04_P,4311000,4311000-101-2025-00011,2025-01-06,,03,폐업,02,폐업,2025-02-02,,,,,,,강원특별자치도 화천군 화천읍 아리 216-2 (현장낚시(1낚시터) 초등학교 방향),,,산천어 회센터(1),2025-02-03 4:15,U,2025-02-05 2:40,횟집,262199.7524,511689.8127,횟집,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
8,일반음식점,07_24_04_P,4311000,4311000-101-2025-00010,2025-01-06,,03,폐업,02,폐업,2025-02-02,,,,033 4404757,,,강원특별자치도 화천군 화천읍 중리 186-5 나라축제조직위원회,"강원특별자치도 화천군 화천읍 산천어길 137, 나라축제조직위원회",24114,산천어식당,2025-02-03 4:15,U,2025-02-05 2:40,기타,262166.2781,512435.1319,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
9,일반음식점,07_24_04_P,4311000,4311000-101-2025-00009,2025-01-06,,03,폐업,02,폐업,2025-02-02,,,,033 4404756,,,강원특별자치도 화천군 화천읍 중리 233 (현장낚시(2낚시터) 절산방향),,,야간 구이터,2025-02-03 4:15,U,2025-02-05 2:40,기타,262309.0105,511826.0912,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
10,일반음식점,07_24_04_P,4311000,4311000-101-2025-00008,2025-01-06,,03,폐업,02,폐업,2025-02-02,,,,033 4404756,,,강원특별자치도 화천군 화천읍 중리 204-4 (외국인낚시터 방향),,,외국인구이터,2025-02-03 4:15,U,2025-02-05 2:40,기타,262290.842,512049.4821,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
11,일반음식점,07_24_04_P,3740000,3760000-101-2025-00027,2025-02-12,,03,폐업,02,폐업,2025-02-23,,,,,,441-859,경기도 수원시 권선구 서둔동 296-124,"경기도 수원시 권선구 세화로134번길 37, 1층 메쎄 전시장 일부호 (서둔동)",16621,카페큐(큐푸드컴퍼니),2025-02-24 4:15,U,2025-02-26 2:40,기타,199672.0863,418258.298,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
12,일반음식점,07_24_04_P,3140000,3140000-101-2025-00030,2025-02-12,,03,폐업,02,폐업,2025-03-12,,,,,36.03,158-840,서울특별시 양천구 신월동 544-6,"서울특별시 양천구 신월로 167, 1층 (신월동)",08031,요거브릭 신월동점,2025-03-12 13:14,U,2025-03-14 2:40,기타,185959.799,446265.1306,기타,0,0,,,,0,0,0,0,0,,0,0,N,36.03,,,
13,일반음식점,07_24_04_P,5670000,5670123-101-2025-00017,2025-02-11,,03,폐업,02,폐업,2025-03-12,,,,,43,641-836,경상남도 창원시 의창구 소답동 139-21 1층 일부호,"경상남도 창원시 의창구 의안로2번길 27, 1층 일부호 (소답동)",51200,우돈푸드 얼큰이,2025-03-12 10:06,U,2025-03-14 2:40,한식,347966.7355,197031.0025,한식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,43,,,
14,일반음식점,07_24_04_P,4050000,5620000-101-2022-00350,2022-12-09,,03,폐업,02,폐업,2025-04-01,,,,,60,449-933,경기도 용인시 처인구 역북동 777-1,"경기도 용인시 처인구 명지로60번길 23-19, 1층 일부(101호) (역북동)",17056,푸치테라,2025-04-01 13:07,U,2025-04-03 2:40,기타,216575.3857,414187.5843,기타,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,60,,,
15,일반음식점,07_24_04_P,4311000,4311000-101-2025-00007,2025-01-06,,03,폐업,02,폐업,2025-02-02,,,,033 4404756,,,강원특별자치도 화천군 화천읍 중리 204,,,에티오피아 카페,2025-02-03 4:15,U,2025-02-05 2:40,기타,262270.1583,512007.9929,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
16,일반음식점,07_24_04_P,5700000,5700000-101-2025-00006,2025-01-21,,03,폐업,02,폐업,2025-01-24,,,,,,469-704,경기도 여주시 홍문동 4 여주시청,"경기도 여주시 세종로 1, 여주시청 주차장 (홍문동)",12619,다리실농원,2025-01-25 4:15,U,2025-01-27 2:40,기타,256424.0227,421993.1984,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
17,일반음식점,07_24_04_P,4040000,4040000-101-2025-00020,2025-01-21,,03,폐업,02,폐업,2025-02-19,,,,,42,465-200,경기도 하남시 감이동 525-8 준메디타워,"경기도 하남시 감일백제로 83, 준메디타워 1층 104호 (감이동)",13004,바로구이,2025-02-19 14:11,U,2025-02-22 2:40,한식,214323.8363,444612.2397,한식,0,0,,,,0,0,0,0,0,,0,0,N,42,,,
18,일반음식점,07_24_04_P,3460000,3460000-101-2025-00038,2025-02-11,,03,폐업,02,폐업,2025-02-12,,,,,,706-130,대구광역시 수성구 대흥동 504 대구광역시스타디움 서편광장,"대구광역시 수성구 유니버시아드로42길 125, 대구광역시스타디움 서편광장 (대흥동)",42250,고산농악보존회성동한우식육식당,2025-02-13 4:15,U,2025-02-15 2:40,한식,352335.045,260158.7502,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
19,일반음식점,07_24_04_P,3220000,3220000-101-2025-00133,2025-02-11,,03,폐업,02,폐업,2025-02-20,,,,,0,135-730,서울특별시 강남구 삼성동 159-7 현대백화점,"서울특별시 강남구 테헤란로 517, 현대백화점 지하1층 (삼성동)",06164,농가의식탁 포천점(한시적),2025-02-21 4:15,U,2025-02-23 2:40,기타,205210.3588,445154.4223,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
20,일반음식점,07_24_04_P,3220000,3220000-101-2025-00132,2025-02-11,,03,폐업,02,폐업,2025-02-27,,,,,,135-902,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 WEST B1F (압구정동)",06008,아우프글렛(한시적),2025-02-28 4:15,U,2025-03-02 2:40,기타,203470.8484,447369.5799,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
21,일반음식점,07_24_04_P,3220000,3220000-101-2025-00129,2025-02-11,,03,폐업,02,폐업,2025-02-16,,,,,,135-902,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",06008,노웨어(knowhere)(한시적),2025-02-17 4:15,U,2025-02-19 2:40,기타,203470.8484,447369.5799,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
22,일반음식점,07_24_04_P,3140000,3140000-101-2025-00027,2025-02-10,,03,폐업,02,폐업,2025-02-27,,,,,,158-724,서울특별시 양천구 목동 916 현대하이페리온,"서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)",07998,금덕푸드,2025-02-28 4:15,U,2025-03-02 2:40,기타,188884.0756,447186.8886,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
23,일반음식점,07_24_04_P,3020000,3020000-101-2025-00064,2025-02-10,,03,폐업,02,폐업,2025-04-23,,,,,92.61,140-170,서울특별시 용산구 동자동 56 트윈시티 남산,"서울특별시 용산구 한강대로 366, 트윈시티 남산 B2층 B209,B210호 (동자동)",04323,던킨 서울역트윈시티점,2025-04-23 11:11,U,2025-04-25 2:40,한식,197525.4073,449844.3198,한식,0,0,,,,0,0,0,0,0,,0,0,Y,92.61,,,
24,일반음식점,07_24_04_P,3200000,3200000-101-2025-00005,2025-01-06,,03,폐업,02,폐업,2025-05-16,,,,,30,151-847,서울특별시 관악구 봉천동 1584-5,"서울특별시 관악구 청룡중앙길 11, 1층 102호 (봉천동)",08832,남자식당 본점,2025-05-16 10:02,U,2025-05-18 2:40,한식,195275.2019,441831.2308,한식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,30,,,
25,일반음식점,07_24_04_P,4040000,4040000-101-2025-00004,2025-01-06,,03,폐업,02,폐업,2025-02-05,,,,,,465-030,경기도 하남시 신장동 616 스타필드 하남,"경기도 하남시 미사대로 750, 스타필드 하남 2층 일부호 (신장동)",12942,브뤼셀프라이(BRUSSELS FRIES),2025-02-06 4:15,U,2025-02-09 2:40,기타,219699.0105,449270.3712,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
26,일반음식점,07_24_04_P,3410000,3410000-101-2024-00378,2024-12-02,,03,폐업,02,폐업,2024-12-31,,,,,,700-082,대구광역시 중구 계산동2가 0200 현대백화점 지하1층,"대구광역시 중구 달구벌대로 2077, 현대백화점 지하1층 (계산동2가)",41936,유키모찌,2025-01-01 4:15,U,2025-01-03 2:40,기타,343588.7356,264119.0108,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
27,일반음식점,07_24_04_P,3670000,3670000-101-2025-00054,2025-02-11,,03,폐업,02,폐업,2025-02-28,,,,,,305-340,대전광역시 유성구 도룡동 3-1,"대전광역시 유성구 엑스포로 1, 지하 1층 A99-19호 (도룡동)",34126,에브리띵,2025-03-01 4:15,U,2025-03-03 2:40,기타,234414.0079,319679.5356,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
28,일반음식점,07_24_04_P,3570000,3570000-101-2025-00007,2025-02-11,,03,폐업,02,폐업,2025-03-17,,,,,31.5,417-801,인천광역시 강화군 강화읍 갑곳리 205-4 동명상회,인천광역시 강화군 강화읍 중앙로 13,23027,못난이농수산,2025-03-17 9:35,U,2025-03-19 2:40,한식,155063.4552,471222.1411,한식,0,0,,,,0,0,0,0,0,,0,0,N,31.5,,,
29,일반음식점,07_24_04_P,3940000,4100100-101-2025-00010,2025-01-15,,03,폐업,02,폐업,2025-02-06,,,,,,411-766,경기도 고양시 일산서구 대화동 2602 현대백화점 킨텍스점 지하1층 일부호,"경기도 고양시 일산서구 호수로 817, 현대백화점 킨텍스점 지하1층 일부호 (대화동)",10391,금덕푸드(충무로가는길)(한시적),2025-02-07 4:15,U,2025-02-09 2:40,기타,178006.0803,462865.8125,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
30,일반음식점,07_24_04_P,3910000,3910029-101-2024-00361,2024-12-02,,03,폐업,02,폐업,2025-05-14,,,,,99.82,,경기도 평택시 고덕동 2230-3,"경기도 평택시 고덕여염6길 130, 1층 (고덕동)",18018,춘희감자탕,2025-05-14 13:46,U,2025-05-16 2:40,한식,203931.6327,392912.4904,한식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,99.82,,,
31,일반음식점,07_24_04_P,3560000,3560000-101-2025-00013,2025-01-07,,03,폐업,02,폐업,2025-05-27,,,,,50.4,404-230,인천광역시 서구 가정동 618-2 금강하이프라자,"인천광역시 서구 봉오재3로 100, 금강하이프라자 106호 (가정동)",22883,청라순대 인천루원시티본점,2025-05-27 10:57,U,2025-05-29 2:40,한식,170833.5065,447265.7025,한식,0,0,,,,0,0,0,0,0,,0,0,N,50.4,,,
32,일반음식점,07_24_04_P,3120000,3120000-101-2025-00020,2025-01-15,,03,폐업,02,폐업,2025-01-17,,,,07088380231,,120-703,서울특별시 서대문구 연희동 168-6 서대문구청,"서울특별시 서대문구 연희로 248, 서대문구청 (연희동)",03718,오사카푸드,2025-01-18 4:15,U,2025-01-20 2:40,기타,194329.387,452987.3771,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
33,일반음식점,07_24_04_P,3220000,3220000-101-2025-00045,2025-01-15,,03,폐업,02,폐업,2025-01-31,,,,,,135-902,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아 명품관 WEST 지하1층 (압구정동)",06008,노웨어(KNOWHERE)-한시적,2025-02-01 4:15,U,2025-02-03 2:40,한식,203470.8484,447369.5799,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
34,일반음식점,07_24_04_P,3220000,3220000-101-2025-00044,2025-01-15,,03,폐업,02,폐업,2025-01-28,,,,,,135-902,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 WEST B1F 고메 (압구정동)",06008,카시코이(한시적),2025-01-29 4:15,U,2025-02-01 2:40,기타,203470.8484,447369.5799,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
35,일반음식점,07_24_04_P,3220000,3220000-101-2024-01472,2024-12-02,,03,폐업,02,폐업,2025-02-24,,,,,13.52,135-820,서울특별시 강남구 논현동 108 논현웰스톤,"서울특별시 강남구 학동로43길 38, 지하2층 제비201호 주방1호 (논현동, 논현웰스톤)",06059,원퍼스트 F&B,2025-02-24 14:33,U,2025-02-26 2:40,분식,203292.307,446247.5115,분식,0,0,,,,0,0,0,0,0,,0,0,N,13.52,,,
36,일반음식점,07_24_04_P,3740000,3760000-101-2024-00369,2024-12-02,,03,폐업,02,폐업,2024-12-31,,,,,,441-100,경기도 수원시 권선구 서둔동 381 타임빌라스 수원,"경기도 수원시 권선구 세화로 134, 타임빌라스 수원 3층 (서둔동)",16621,솔트팩토리,2025-01-01 4:15,U,2025-01-03 2:40,기타,199673.3786,418025.5478,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
37,일반음식점,07_24_04_P,3640000,3640000-101-2025-00020,2025-02-11,,03,폐업,02,폐업,2025-02-12,,,,,0,300-701,대전광역시 동구 가오동 425 동구청,"대전광역시 동구 동구청로 147, 동구청 앞마당 행사장 (가오동)",34691,토고리 옛날막창 대전대점,2025-02-13 4:15,U,2025-02-15 2:40,한식,240775.5311,312440.2058,한식,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
38,일반음식점,07_24_04_P,4050000,5640000-101-2025-00028,2025-02-11,,03,폐업,02,폐업,2025-03-10,,,,,,448-140,경기도 용인시 수지구 성복동 789 성복역 롯데캐슬 골드타운,"경기도 용인시 수지구 성복2로 38, 롯데몰 수지점 지하1층 일부호 (성복동)",16847,남도분식,2025-03-11 4:15,U,2025-03-13 2:40,기타,207273.4907,423410.2183,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
39,일반음식점,07_24_04_P,3210000,3210000-101-2025-00043,2025-02-10,,03,폐업,02,폐업,2025-02-27,,,,,,137-713,서울특별시 서초구 반포동 19-3 신세계백화점 강남점 지하1층 스위트파크,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 스위트파크 (반포동)",06546,설고디저트카페,2025-02-28 4:15,U,2025-03-02 2:40,기타,200250.4478,444683.2205,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
40,일반음식점,07_24_04_P,3160000,3160000-101-2025-00025,2025-02-10,,03,폐업,02,폐업,2025-05-28,,,,,10.89,152-872,서울특별시 구로구 구로동 737-16,"서울특별시 구로구 구로동로 102, 1층 (구로동)",08319,러브 송,2025-05-28 15:49,U,2025-05-30 2:40,호프/통닭,189760.3491,442849.2631,호프/통닭,0,0,,,,0,0,0,0,0,,0,0,N,10.89,,,
41,일반음식점,07_24_04_P,5020000,5040000-101-2025-00026,2025-02-10,,03,폐업,02,폐업,2025-03-08,,,,,,791-710,경상북도 포항시 북구 학산동 127-9 롯데백화점 포항점 지하1층 식품관,"경상북도 포항시 북구 학산로 62, 롯데백화점 포항점 지하1층 식품관 (학산동)",37718,금덕푸드,2025-03-09 4:15,U,2025-03-11 2:40,기타,413457.3398,285842.6486,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
42,일반음식점,07_24_04_P,3540000,3540000-101-2025-00025,2025-02-10,,03,폐업,02,폐업,2025-05-12,,,,,25.92,403-860,인천광역시 부평구 부평동 889-11,"인천광역시 부평구 길주남로 25-4, 1층 일부 (부평동)",21354,프랑킨바베큐 부평점,2025-05-12 13:23,U,2025-05-14 2:40,호프/통닭,175575.648,444768.8458,호프/통닭,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,25.92,,,
43,일반음식점,07_24_04_P,3940000,4100100-101-2025-00008,2025-01-15,,03,폐업,02,폐업,2025-01-27,,,,,,411-766,경기도 고양시 일산서구 대화동 2602 현대백화점 킨텍스점 지하1층 팝업행사장(일부),"경기도 고양시 일산서구 호수로 817, 현대백화점 킨텍스점 지하1층 팝업행사장(일부)호 (대화동)",10391,카페몬지 일산킨텍스점(한시적영업),2025-01-28 4:15,U,2025-02-02 2:40,기타,178006.0803,462865.8125,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
44,일반음식점,07_24_04_P,3660000,3660000-101-2025-00021,2025-01-15,,03,폐업,02,폐업,2025-01-30,,,,,,302-829,대전광역시 서구 둔산동 1036 갤러리아타임월드백화점,"대전광역시 서구 대덕대로 211, 갤러리아타임월드백화점 지하2층 일부호 (둔산동)",35229,스프링벅커피,2025-01-31 4:15,U,2025-02-02 2:40,기타,233907.1178,316901.2614,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
45,일반음식점,07_24_04_P,3210000,3210000-101-2025-00016,2025-01-15,,03,폐업,02,폐업,2025-01-27,,,,,,137-960,서울특별시 서초구 반포동 19-3 센트럴시티,"서울특별시 서초구 신반포로 176, 신세계백화점 강남점 지하1층 식품관 (반포동)",06546,금덕푸드,2025-01-28 4:15,U,2025-02-02 2:40,기타,200250.4478,444683.2205,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
46,일반음식점,07_24_04_P,3330000,3330000-101-2025-00008,2025-01-06,,03,폐업,02,폐업,2025-01-09,,,,,,612-020,부산광역시 해운대구 우동 1495 신세계백화점센텀시티점,"부산광역시 해운대구 센텀남대로 35, 신세계백화점센텀시티점 지하1층 일부호 (우동)",48058,농가의식탁 포천점,2025-01-10 4:15,U,2025-01-12 2:40,기타,393952.2645,187602.9332,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
47,일반음식점,07_24_04_P,3020000,3020000-101-2025-00015,2025-01-06,,03,폐업,02,폐업,2025-01-09,,,,,,140-780,서울특별시 용산구 한강로3가 40-999 용산역,"서울특별시 용산구 한강대로23길 55, 용산역 7층 (한강로3가)",04377,버블케미스트리,2025-01-10 4:15,U,2025-01-12 2:40,기타,196762.0774,447480.0396,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
48,일반음식점,07_24_04_P,3020000,3020000-101-2025-00014,2025-01-03,,03,폐업,02,폐업,2025-02-02,,,,,,140-780,서울특별시 용산구 한강로3가 40-999 용산역,"서울특별시 용산구 한강대로23길 55, 아이파크몰 용산점 3층 리빙파크 b/c/d호 (한강로3가)",04377,왓에버 타코(Whatever TACO),2025-02-03 4:15,U,2025-02-05 2:40,기타,196762.0774,447480.0396,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
49,일반음식점,07_24_04_P,3020000,3020000-101-2025-00013,2025-01-06,,03,폐업,02,폐업,2025-02-02,,,,,,140-780,서울특별시 용산구 한강로3가 40-999 용산역,"서울특별시 용산구 한강대로23길 55, 용산아이파크몰 3층 이벤트호 (한강로3가)",04377,고스트블랙 연남점,2025-02-03 4:15,U,2025-02-05 2:40,기타,196762.0774,447480.0396,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
50,일반음식점,07_24_04_P,5110000,5110000-101-2025-00012,2025-01-07,,03,폐업,02,폐업,2025-01-12,,,,,,742-040,경상북도 상주시 복룡동 165-9,경상북도 상주시 삼백로 323 (복룡동),37237,신암송어,2025-01-13 4:15,U,2025-01-15 2:40,기타,305831.0948,325176.2104,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
51,일반음식점,07_24_04_P,3670000,3670000-101-2009-00253,2009-10-23,,03,폐업,02,폐업,2017-05-22,,,,042 8246668,200.68,305-301,대전광역시 유성구 봉명동 666-3번지 지상1층,"대전광역시 유성구 문화원로 145, 지상1층 (봉명동)",34184,전흥식당,2017-05-22 11:53,I,2018-08-31 23:59,탕류(보신용),231520.16,317561.8543,탕류(보신용),,,유흥업소밀집지역,,상수도전용,,,,,,,,,N,200.68,,,
52,일반음식점,07_24_04_P,3670000,3670000-101-2009-00252,2009-10-21,,03,폐업,02,폐업,2025-05-23,,,,042 862 1253,156.87,305-807,대전광역시 유성구 어은동 115 지상2층,"대전광역시 유성구 어은로 48 (어은동,지상2층)",34139,더 자니펍,2025-05-23 13:26,U,2025-05-25 2:40,경양식,232001.7362,318031.7963,경양식,0,0,주택가주변,,상수도전용,0,0,0,0,0,,0,0,Y,156.87,,,
53,일반음식점,07_24_04_P,3670000,3670000-101-2009-00251,2009-10-21,,03,폐업,02,폐업,2022-01-20,,,,042 543 3600,39.36,305-808,대전광역시 유성구 원내동 309-15 지상1층,"대전광역시 유성구 진잠로74번길 43 (원내동,지상1층)",,수랏간,2022-01-20 14:31,U,2022-01-22 2:40,한식,228576.9549,310960.7648,한식,0,0,주택가주변,,상수도전용,0,0,0,0,0,,0,0,N,39.36,,,
